Country,country_code,Region,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1
Aruba,ABW,Latin America & Caribbean,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,South Asia,CO2 emissions (metric tons per capita),191745115.0,167681579.0,95957742.0,8472111.0,75545827.0,68467956.0,62588034.0,56826618.0,52690856.0,40156965.0,36573704.0,3378536.0,45573659.0,51518377.0,41655394.0,60418781.0,66583291.0,65312346.0,128416559.0,171862421.0,243614036.0,29650624.0,259295334.0,18562366.0,146235617.0,172896741.0,149789334.0,131694556.0,1632953.0,159824372.0,159824372.0
Angola,AGO,Sub-Saharan Africa,CO2 emissions (metric tons per capita),553661955.0,544538649.0,543557223.0,70898423.0,836804405.0,912141485.0,1072168465.0,1086636974.0,1091825308.0,1109859657.0,988077383.0,941828905.0,895577672.0,924869437.0,930262948.0,813539291.0,821840076.0,811753508.0,888658009.0,939403983.0,976184198.0,985522312.0,950695879.0,1036293852.0,1099779111.0,113504405.0,1031811348.0,81330073.0,777674934.0,792137069.0,792137069.0
Albania,ALB,Europe & Central Asia,CO2 emissions (metric tons per capita),1819541634.0,124281022.0,683699826.0,638307036.0,645355189.0,605436253.0,612367359.0,466921472.0,572153695.0,955359308.0,1026213109.0,1055495882.0,1232378783.0,1338984981.0,1404058688.0,1338209399.0,1339995739.0,139393137.0,1384311249.0,1441493562.0,1527623663.0,166942319.0,150324046.0,1533630039.0,1668337371.0,160377515.0,1557664358.0,1788786074.0,1782738948.0,169224832.0,169224832.0
Andorra,AND,Europe & Central Asia,CO2 emissions (metric tons per capita),7521831658.0,723537924.0,69630787.0,6724177518.0,6541578914.0,6733479486.0,699159455.0,7307441152.0,763953851.0,7923191648.0,7952286282.0,7721549062.0,7566239884.0,724241557.0,7344262326.0,7353780012.0,6790542773.0,653104692.0,6439303857.0,6156687476.0,6157197775.0,5850886105.0,5944654173.0,5942800412.0,5807127723.0,6026181822.0,6080600282.0,6104133912.0,6362975399.0,6481217432.0,6481217432.0
United Arab Emirates,ARE,Middle East & North Africa,CO2 emissions (metric tons per capita),3019518857.0,3177849624.0,2908092584.0,2927567777.0,3084933296.0,3112501806.0,3092802588.0,3048633262.0,2966358052.0,2888710798.0,2703515911.0,2943026994.0,2850146173.0,2796926982.0,2703893822.0,2538238104.0,2293510429.0,2137028576.0,2201146924.0,1983234887.0,1903976975.0,1850945738.0,1920780112.0,2005564757.0,2005169797.0,2107764197.0,2148066861.0,2076902233.0,1839067806.0,1932956328.0,1932956328.0
Argentina,ARG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3075541328.0,3202031307.0,3218973722.0,3245795281.0,3252945287.0,3241341893.0,3476953205.0,3536989954.0,3678793802.0,3688518274.0,3587392038.0,3360371185.0,3117424829.0,3351723713.0,3672973996.0,3753639235.0,394249129.0,4102629636.0,4172388531.0,3867569967.0,4099689714.0,4280989353.0,4264223782.0,4342115069.0,4209095633.0,4301913876.0,4201845776.0,4071308362.0,3975771971.0,3740650291.0,3740650291.0
Armenia,ARM,Europe & Central Asia,CO2 emissions (metric tons per capita),5610254358.0,5902576393.0,316600926.0,1498612445.0,83443373.0,1090960291.0,814339187.0,1066043297.0,1116225447.0,1006791798.0,1159761363.0,1180062452.0,1028353516.0,1159732241.0,125303469.0,1496010763.0,151776299.0,1773161431.0,1956930356.0,1561583601.0,1508351244.0,171734338.0,1983192027.0,189812717.0,1881607737.0,1825292244.0,172675284.0,1823560155.0,1934451579.0,2086060678.0,2086060678.0
American Samoa,ASM,East Asia & Pacific,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3358226856.0,3472057826.0,449898385.0,3800720617.0,3720182735.0,3931733458.0,398996808.0,404423557.0,4370450293.0,4419208828.0,4341705369.0,4532974149.0,4980969957.0,5169522468.0,4978406237.0,5033021488.0,5319470442.0,5474300638.0,5621003692.0,1602434762.0,556628433.0,6050420408.0,774276315.0,5136050692.0,5185713244.0,5236665308.0,5289885738.0,5239717055.0,5296940139.0,5354476455.0,5354476455.0
Australia,AUS,East Asia & Pacific,CO2 emissions (metric tons per capita),1544848844.0,1531821338.0,1534152615.0,1545536877.0,1569196304.0,1605688358.0,1642783027.0,1662526327.0,175629309.0,176323576.0,177230721.0,1780456395.0,179819247.0,1772168373.0,1817472687.0,1814629201.0,1814145349.0,1852109701.0,1830374802.0,1822309955.0,1759006927.0,1729541584.0,1702204223.0,1644231571.0,1583042152.0,15863288.0,1591465712.0,1581831632.0,1549352925.0,1523826715.0,1523826715.0
Austria,AUT,Europe & Central Asia,CO2 emissions (metric tons per capita),758936421.0,8049113779.0,7353926794.0,7311242503.0,7343640808.0,7697264741.0,8154273323.0,8059697484.0,8107272237.0,7888819322.0,7929785513.0,8444109161.0,8583317475.0,9168343908.0,92756141.0,926611356.0,8961569195.0,8587801761.0,849967402.0,7721143982.0,8365014901.0,8135474381.0,7723614487.0,7753699576.0,7260404228.0,7317158873.0,7288819983.0,7486161583.0,7133063919.0,7293984252.0,7293984252.0
Azerbaijan,AZE,Europe & Central Asia,CO2 emissions (metric tons per capita),7453450775.0,7159655082.0,8616847624.0,6411111704.0,4412529372.0,4225196328.0,3502511915.0,3379580901.0,3347655756.0,3272055369.0,3440349875.0,3254758852.0,3203641763.0,3469717358.0,3408174257.0,3579663711.0,3593590676.0,3219791775.0,3474678865.0,2850039951.0,2684902593.0,2973918764.0,3239102868.0,3285616903.0,338119922.0,3292452869.0,3304019557.0,3243341999.0,3292832354.0,3542397828.0,3542397828.0
Burundi,BDI,Sub-Saharan Africa,CO2 emissions (metric tons per capita),31255981.0,39533341.0,316591.0,32769615.0,32209046.0,33405467.0,34652836.0,34301787.0,35566684.0,36699403.0,40759564.0,30648776.0,3132403.0,23157659.0,2103289.0,20366995.0,23659773.0,2289428.0,22150837.0,21434541.0,34579718.0,40185722.0,4001734.0,40879208.0,38601013.0,39369948.0,419527.0,48951647.0,61742872.0,62442671.0,62442671.0
Belgium,BEL,Europe & Central Asia,CO2 emissions (metric tons per capita),1096677472.0,1139089005.0,1118250206.0,1091876374.0,1135869013.0,1130237113.0,1176078263.0,1145537702.0,1170341139.0,1129525399.0,1143958054.0,1150432068.0,1072798848.0,1113131453.0,1094122423.0,1055578237.0,1030057207.0,9843115874.0,9984152183.0,9231701273.0,9794792242.0,8740505152.0,8577525877.0,8655477512.0,8041711215.0,8437851999.0,8314931808.0,8151095679.0,8196338589.0,8095583954.0,8095583954.0
Benin,BEN,Sub-Saharan Africa,CO2 emissions (metric tons per capita),66285172.0,52432316.0,52515049.0,52519477.0,49000606.0,50799654.0,159165853.0,197400553.0,187009053.0,201077354.0,206817822.0,245876343.0,298818443.0,324444105.0,341935364.0,363307326.0,422300744.0,473104595.0,46223287.0,494146663.0,525042566.0,491500279.0,456355652.0,467785082.0,50452817.0,520992816.0,619937007.0,614754528.0,646058116.0,618583746.0,618583746.0
Burkina Faso,BFA,Sub-Saharan Africa,CO2 emissions (metric tons per capita),56747035.0,56353056.0,55931359.0,55483015.0,55008952.0,56492248.0,60736157.0,64694261.0,69287926.0,78881856.0,80978977.0,8120832.0,78092606.0,82183395.0,81347129.0,78975196.0,89665522.0,98933279.0,115727153.0,114258558.0,146745851.0,15296686.0,177415687.0,183332656.0,180825362.0,204300066.0,198430258.0,222474208.0,23643815.0,246046246.0,246046246.0
Bangladesh,BGD,South Asia,CO2 emissions (metric tons per capita),111658248.0,102557668.0,109460957.0,113909624.0,120101811.0,1437007.0,143051512.0,157872086.0,156908688.0,160636276.0,169593942.0,198172464.0,207053129.0,212401957.0,222868797.0,235263641.0,254752395.0,266296791.0,288141386.0,306664813.0,342739986.0,364566595.0,384025166.0,396697028.0,413092687.0,461997426.0,470827565.0,496851847.0,517113005.0,556529455.0,556529455.0
Bulgaria,BGR,Europe & Central Asia,CO2 emissions (metric tons per capita),8443170443.0,6815048526.0,6482311113.0,6601503037.0,636222195.0,6528617961.0,6612597225.0,6375068154.0,6113759034.0,5397884497.0,53144536.0,5767159578.0,556323884.0,6164371004.0,6125548534.0,6265854174.0,6439923574.0,6971191811.0,6678624427.0,5764030949.0,6049544016.0,6755278124.0,616215311.0,5458963808.0,5820924714.0,6207865317.0,5834881981.0,620129024.0,582203361.0,561085728.0,561085728.0
Bahrain,BHR,Middle East & North Africa,CO2 emissions (metric tons per capita),2165641314.0,2030359266.0,2345712527.0,2437468762.0,2432722575.0,2401995395.0,2445300444.0,2423826789.0,2524046883.0,2427184466.0,238937121.0,2349652355.0,2342410876.0,2303816133.0,2160641891.0,2326923202.0,2346563028.0,2220240095.0,2221335064.0,208594387.0,2092896507.0,2035750059.0,2090093256.0,2193867997.0,2266343283.0,2229101801.0,2125133118.0,2042732768.0,1963120569.0,2026610279.0,2026610279.0
"Bahamas, The",BHS,Latin America & Caribbean,CO2 emissions (metric tons per capita),7649467074.0,7815882333.0,9660637226.0,7710327781.0,7504105507.0,7852123107.0,7289245722.0,6507448767.0,8121128699.0,7889465863.0,748209163.0,7335981336.0,7800895463.0,7600847317.0,7055658167.0,6495345193.0,634379729.0,628358498.0,6401303677.0,1764874164.0,5860211203.0,7147167506.0,9763986436.0,7653297299.0,6799325412.0,5905932758.0,5397924873.0,5684363486.0,7260751623.0,7291661097.0,7291661097.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,CO2 emissions (metric tons per capita),5370319006.0,4906942041.0,3772138283.0,3285167225.0,802738048.0,880114096.0,1113053568.0,2272441362.0,2881367461.0,281031471.0,3721499604.0,3663945867.0,3872969895.0,3952496648.0,4136343582.0,4310376759.0,4756438946.0,502020957.0,5529716828.0,5511323147.0,5624105757.0,6484260583.0,6091586588.0,6167789961.0,5597187383.0,5721181036.0,6597243083.0,6767050642.0,6799182648.0,6382918043.0,6382918043.0
Belarus,BLR,Europe & Central Asia,CO2 emissions (metric tons per capita),9797486552.0,9438839323.0,8612563831.0,7463583047.0,6337174653.0,5654400196.0,5772882688.0,5848321407.0,5685088398.0,5480346649.0,5304816521.0,5225335545.0,5254649833.0,5379335611.0,5759420354.0,5875465459.0,615517613.0,6029733806.0,6352864617.0,603919199.0,650264283.0,618814293.0,6344981391.0,6352712195.0,629728587.0,579426692.0,5822979457.0,592135146.0,6245507315.0,6122237765.0,6122237765.0
Belize,BLZ,Latin America & Caribbean,CO2 emissions (metric tons per capita),1759493266.0,2249707015.0,2573022375.0,2378241619.0,2231268501.0,2222630241.0,1684919966.0,2076046485.0,1954414371.0,1715631917.0,1819578666.0,2077877272.0,1981805428.0,1892898995.0,1591227985.0,1656107509.0,1750544009.0,1772391396.0,162960935.0,4640002664.0,1736622587.0,2028852144.0,1982242705.0,1330606578.0,1358364951.0,1884042732.0,1764391261.0,1703146792.0,1644603729.0,1639550009.0,1639550009.0
